Nome_Jogo,Plataforma,Ano_de_Lancamento,Genero,Editora,NA_Vendas,EU_Vendas,JP_Vendas,Outras_Vendas,Vendas_Globais,Pontuacao_Critica,Contagem_Critica,Pontuacao_do_usuario,Contagem_de_usuarios,Desenvolvedor,Classificacao
Cabela's Survival: Shadows of Katmai,PS3,2011,Esporte,Activision,0.11,0.05,0.0,0.02,0.18,Nao_Inserido,0,7.4,5,Activision,+14
Hot Wheels: Battle Force 5,Wii,2009,Corrida,Activision,0.17,0.0,0.0,0.01,0.18,Nao_Inserido,0,Nao_Inserido,0,Sidhe Interactive,+10
Go Play: Lumberjacks,Wii,2009,Simulação,Majesco Entertainment,0.17,0.0,0.0,0.01,0.18,Nao_Inserido,0,Nao_Inserido,0,Panic Button,Livre
Fight Club,PS2,2004,Combate,Vivendi Games,0.09,0.07,0.0,0.02,0.18,36.0,28,4.4,22,Genuine Games,+17
Samurai Warriors: State of War,PSP,2005,Acao,Tecmo Koei,0.07,0.0,0.11,0.01,0.18,64.0,30,6.4,8,Omega Force,+14
Cabela's Survival: Shadows of Katmai,X360,2011,Esporte,Activision,0.14,0.03,0.0,0.01,0.18,Nao_Inserido,0,3.5,6,Activision,+14
Dragon Blade: Wrath of Fire,Wii,2007,Acao,D3Publisher,0.17,0.0,0.0,0.01,0.18,51.0,19,7.5,17,D3Publisher,+14
Guilty Gear Xrd: Sign,PS3,2014,Combate,Arc System Works,0.1,0.0,0.07,0.02,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Dance Dance Revolution: Disney Grooves,Wii,2009,Simulação,Konami Digital Entertainment,0.17,0.0,0.0,0.01,0.18,Nao_Inserido,0,Nao_Inserido,0,Konami,Livre
Camping Mama: Outdoor Adventures,DS,2011,Simulação,505 Games,0.12,0.05,0.0,0.02,0.18,51.0,5,Nao_Inserido,0,Racjin,Livre
Harvest Moon: A Wonderful Life Special Edition,PS2,2004,Simulação,505 Games,0.09,0.07,0.0,0.02,0.18,Nao_Inserido,0,8.9,54,Marvelous,Livre
Sports Illustrated for Kids: Football,GBA,2003,Esporte,BAM! Entertainment,0.13,0.05,0.0,0.0,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
The Munchables,Wii,2009,Acao,Namco Bandai Games,0.17,0.0,0.0,0.01,0.18,71.0,33,8.2,5,Now Production,Livre
How to Train Your Dragon 2,Wii,2014,Aventura,Little Orbit,0.04,0.13,0.0,0.01,0.18,Nao_Inserido,0,Nao_Inserido,0,Torus Games,+10
.hack//Quarantine Part 4: The Final Chapter,PS2,2003,Rpg,Atari,0.09,0.07,0.0,0.02,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
The Smurfs 2,DS,2013,Plataforma,Ubisoft,0.0,0.17,0.0,0.01,0.18,Nao_Inserido,0,Nao_Inserido,0,WayForward,Livre
Close Combat: First to Fight,XB,2005,Tiro,Take-Two Interactive,0.14,0.04,0.0,0.01,0.18,69.0,46,7.8,10,Destineer,+14
Indiana Jones and the Emperor's Tomb,XB,2003,Acao,LucasArts,0.14,0.04,0.0,0.01,0.18,73.0,43,8.6,17,Double Helix Games,+14
Buffy the Vampire Slayer: Chaos Bleeds,PS2,2003,Acao,Vivendi Games,0.09,0.07,0.0,0.02,0.18,72.0,27,8.9,47,Eurocom Entertainment Software,+14
Remington Super Slam Hunting: North America,Wii,2010,Esporte,Mastiff,0.17,0.0,0.0,0.01,0.18,Nao_Inserido,0,Nao_Inserido,0,Jack of All Games,+14
Reel Fishing II,PS,2000,Esporte,Victor Interactive,0.1,0.07,0.0,0.01,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Battle of Giants: Dinosaurs Strike,Wii,2010,Estratégia,Ubisoft,0.14,0.03,0.0,0.01,0.18,Nao_Inserido,0,Nao_Inserido,0,Ubisoft Quebec,+10
Ty the Tasmanian Tiger,XB,2002,Plataforma,Electronic Arts,0.14,0.04,0.0,0.01,0.18,68.0,13,8.5,11,Krome Studios,Livre
Imagine: Babyz Fashion,DS,2009,Simulação,Ubisoft,0.17,0.0,0.0,0.01,0.18,Nao_Inserido,0,Nao_Inserido,0,Ubisoft,Livre
Dead or Alive,SAT,1997,Combate,Tecmo Koei,0.0,0.0,0.18,0.0,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Active Health with Carol Vorderman,DS,2009,Esporte,Nintendo,0.0,0.18,0.0,0.01,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Driving Emotion Type-S,PS2,2000,Corrida,Electronic Arts,0.04,0.03,0.11,0.01,0.18,55.0,18,Nao_Inserido,0,Escape,Livre
Heavy Fire: Afghanistan,PS3,2011,Tiro,Unknown,0.17,0.0,0.0,0.02,0.18,39.0,5,3.3,16,Teyon,+14
Siren,PS2,2003,Aventura,Sony Computer Entertainment,0.09,0.07,0.0,0.02,0.18,72.0,48,7.8,41,SCE Japan Studio,+17
NARC,XB,2005,Tiro,Midway Games,0.14,0.04,0.0,0.01,0.18,51.0,27,2.8,6,Point of View,+17
Driver: San Francisco,PC,2011,Corrida,Ubisoft,0.05,0.1,0.0,0.03,0.18,80.0,11,7.0,332,Ubisoft Reflections,+14
Just Dance 2017,Wii,2016,Diversos,Ubisoft,0.06,0.11,0.0,0.01,0.18,Nao_Inserido,0,Nao_Inserido,0,Ubisoft Paris,+10
NASCAR Unleashed,Wii,2011,Corrida,Activision,0.17,0.0,0.0,0.01,0.18,Nao_Inserido,0,Nao_Inserido,0,Firebrand Games,Livre
Super Robot Taisen J,GBA,2005,Estratégia,Banpresto,0.0,0.0,0.18,0.0,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Shape Up,XOne,2014,Diversos,Ubisoft,0.08,0.09,0.0,0.01,0.18,58.0,6,8.3,28,Ubisoft Montreal,Livre
Nep League DS,DS,2007,Esporte,Jaleco,0.0,0.0,0.18,0.0,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Happy Cooking,DS,2006,Simulação,Ubisoft,0.17,0.0,0.0,0.01,0.18,Nao_Inserido,0,Nao_Inserido,0,Ubisoft,Livre
Ar tonelico 2: Melody of Metafalica,PS2,2007,Rpg,Nippon Ichi Software,0.04,0.03,0.11,0.01,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Cars: Race-O-Rama,PS3,2009,Corrida,THQ,0.14,0.03,0.0,0.02,0.18,61.0,5,Nao_Inserido,0,Incinerator Games,Livre
Jewel Master: Cradle of Athena,DS,2010,Quebra_cabeca,Storm City Games,0.17,0.0,0.0,0.01,0.18,Nao_Inserido,0,Nao_Inserido,0,CokeM Interactive,+10
Saw II: Flesh & Blood,PS3,2010,Acao,Konami Digital Entertainment,0.1,0.06,0.0,0.02,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Hidden Mysteries: Vampire Secrets,DS,2010,Aventura,Astragon,0.06,0.11,0.0,0.02,0.18,Nao_Inserido,0,Nao_Inserido,0,Gunnar Games,+10
Casper: Friends Around the World,PS,2000,Acao,TDK Core,0.1,0.07,0.0,0.01,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Jurassic Park III: Island Attack,GBA,2001,Aventura,Konami Digital Entertainment,0.13,0.05,0.0,0.0,0.18,57.0,6,Nao_Inserido,0,Konami,Livre
Jikkyou Powerful Pro Baseball 2016,PSV,2016,Esporte,Konami Digital Entertainment,0.0,0.0,0.18,0.0,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Tekken Tag Tournament 2,WiiU,2012,Combate,Namco Bandai Games,0.09,0.07,0.01,0.01,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
GameBoy Wars,GB,1991,Estratégia,Nintendo,0.0,0.0,0.18,0.0,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Amplitude,PS2,2003,Diversos,Sony Computer Entertainment,0.09,0.07,0.0,0.02,0.18,86.0,35,8.8,26,Harmonix Music Systems,+14
Disgaea DS,DS,2008,Rpg,Square Enix,0.11,0.01,0.05,0.01,0.18,82.0,32,7.5,35,Nippon Ichi Software,+14
Gauntlet: Seven Sorrows,XB,2005,Rpg,Midway Games,0.14,0.04,0.0,0.01,0.18,61.0,36,7.8,4,Midway,+14
AirForce Delta Storm,XB,2001,Tiro,Konami Digital Entertainment,0.14,0.04,0.0,0.01,0.18,61.0,21,7.1,7,KCE Studios,Livre
Metal Gear Solid V: The Phantom Pain,X360,2015,Acao,Konami Digital Entertainment,0.12,0.04,0.0,0.02,0.18,Nao_Inserido,0,7.2,159,"Kojima Productions, Moby Dick Studio",+17
Monopoly Party,XB,2002,Diversos,Infogrames,0.14,0.04,0.0,0.01,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Fear Effect 2: Retro Helix,PS,2001,Acao,Eidos Interactive,0.1,0.07,0.0,0.01,0.18,84.0,15,8.9,17,Kronos Digital Entertainment,+17
Chaotic: Shadow Warriors,DS,2009,Acao,Activision,0.17,0.0,0.0,0.01,0.18,Nao_Inserido,0,Nao_Inserido,0,FUN Labs,+10
Ninja Gaiden 3,WiiU,2012,Acao,Nintendo,0.14,0.03,0.0,0.02,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Atelier Shallie: Alchemists of the Dusk Sea,PS3,2014,Rpg,Tecmo Koei,0.06,0.02,0.08,0.02,0.18,76.0,26,7.7,44,Gust,+10
Mahjong: Journey Quest for Tikal,DS,2008,Quebra_cabeca,Rondomedia,0.15,0.02,0.0,0.01,0.18,Nao_Inserido,0,Nao_Inserido,0,MumboJumbo,Livre
Call of Duty: World at War,PC,2008,Tiro,Activision,0.02,0.14,0.0,0.03,0.18,83.0,36,7.5,721,Treyarch,+17
CSI: Fatal Conspiracy,PS3,2010,Aventura,Ubisoft,0.11,0.05,0.0,0.02,0.18,39.0,5,5.6,13,Telltale Games,+17
Chocobo no Fushigi Dungeon for WonderSwan,WS,1999,Rpg,Namco Bandai Games,0.0,0.0,0.18,0.0,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
International Superstar Soccer 2000 (JP weekly sales),N64,1999,Esporte,Konami Digital Entertainment,0.0,0.0,0.18,0.0,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Ringling Bros. and Barnum & Bailey Circus,Wii,2009,Acao,Take-Two Interactive,0.17,0.0,0.0,0.01,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Klonoa: Door to Phantomile,PS,1997,Plataforma,Sony Computer Entertainment,0.0,0.0,0.17,0.01,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Vietcong: Purple Haze,PS2,2004,Tiro,Gathering of Developers,0.09,0.07,0.0,0.02,0.18,48.0,11,4.3,6,Coyote Developments,+17
Atari Anniversary Advance,GBA,2002,Diversos,Atari,0.13,0.05,0.0,0.0,0.18,75.0,7,Nao_Inserido,0,Digital Eclipse,Livre
Summer Athletics: The Ultimate Challenge,PS2,2008,Esporte,DTP Entertainment,0.0,0.0,0.0,0.18,0.18,Nao_Inserido,0,Nao_Inserido,0,49Games,Livre
Hatsune Miku and Future Stars: Project Mirai,3DS,2012,Diversos,Sega,0.0,0.0,0.18,0.0,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
X-Men Origins: Wolverine,PS2,2009,Acao,Activision,0.13,0.0,0.0,0.05,0.18,Nao_Inserido,0,6.8,16,Amaze Entertainment,+14
Syndicate,X360,2012,Tiro,Electronic Arts,0.1,0.06,0.0,0.02,0.18,74.0,65,7.1,174,Starbreeze,+17
Zumba Fitness Rush,X360,2012,Esporte,505 Games,0.0,0.16,0.0,0.02,0.18,73.0,7,6.2,5,"Majesco Games, Majesco",+10
Call of Juarez,X360,2007,Tiro,Ubisoft,0.14,0.02,0.0,0.01,0.18,71.0,37,6.9,46,Techland,+17
TalkMan (Japan),PSP,2005,Diversos,Sony Computer Entertainment,0.0,0.0,0.18,0.0,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Ghostbusters: The Video Game,PSP,2009,Acao,Atari,0.16,0.01,0.0,0.02,0.18,54.0,13,4.7,13,Red Fly Studio,+10
Bloody Roar: Primal Fury,GC,2002,Combate,Activision,0.14,0.04,0.0,0.0,0.18,75.0,27,8.5,20,Eighting/Raizing,+14
Mega Man Soccer,SNES,1993,Esporte,Capcom,0.04,0.01,0.13,0.0,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
MotoGP,Wii,2009,Corrida,Capcom,0.05,0.11,0.0,0.02,0.18,44.0,10,5.4,11,Milestone S.r.l,Livre
Mushroom Men: The Spore Wars,Wii,2008,Acao,SouthPeak Games,0.16,0.01,0.0,0.01,0.18,72.0,37,8.7,33,Red Fly Studio,+10
Saint Seiya: Soldiers' Soul,PS4,2015,Combate,Namco Bandai Games,0.0,0.12,0.04,0.02,0.18,59.0,30,7.8,45,Dimps Corporation,+14
Brunswick Pro Bowling,PS3,2010,Esporte,505 Games,0.1,0.05,0.0,0.02,0.18,47.0,6,Nao_Inserido,0,Farsight Studios,Livre
LEGO Harry Potter: Years 5-7,PSV,2012,Acao,Warner Bros. Interactive Entertainment,0.07,0.07,0.0,0.03,0.18,64.0,19,6.8,21,Traveller's Tales,+10
FIFA Soccer 07,GC,2006,Esporte,Electronic Arts,0.14,0.04,0.0,0.0,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Rabbids Party Collection,Wii,2010,Diversos,Ubisoft,0.0,0.16,0.0,0.02,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Corpse Party: Blood Drive,PSV,2014,Aventura,Marvelous Interactive,0.08,0.01,0.06,0.03,0.18,60.0,19,7.4,58,5pb,+17
The Last Airbender,DS,2010,Acao,THQ,0.13,0.04,0.0,0.01,0.18,69.0,6,7.0,4,THQ,+10
My Fitness Coach 2: Exercise and Nutrition,Wii,2009,Esporte,Black Bean Games,0.13,0.03,0.0,0.01,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Pokémon I Choose You / Squirtle Squad Game Boy Advance Video,GBA,2004,Diversos,Nintendo,0.13,0.05,0.0,0.0,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Vampire Savior: The Lord of Vampire,SAT,1998,Combate,Capcom,0.0,0.0,0.18,0.0,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
UFC Personal Trainer: The Ultimate Fitness System,Wii,2011,Esporte,THQ,0.11,0.06,0.0,0.02,0.18,54.0,5,Nao_Inserido,0,THQ,Livre
MotoGP 14,PS4,2014,Corrida,Milestone S.r.l.,0.04,0.11,0.0,0.03,0.18,73.0,28,6.4,26,Milestone S.r.l,Livre
Shrek SuperSlam,DS,2005,Acao,Activision,0.17,0.0,0.0,0.01,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Alone in the Dark,Wii,2008,Aventura,Atari,0.09,0.08,0.0,0.02,0.18,39.0,10,4.4,34,Hydravision,+17
Super Robot Taisen UX,3DS,2013,Rpg,Namco Bandai Games,0.0,0.0,0.18,0.0,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Skylanders Imaginators,WiiU,2016,Plataforma,Activision,0.09,0.08,0.0,0.02,0.18,76.0,4,Nao_Inserido,0,Toys for Bob,+10
Six Flags Fun Park,DS,2008,Diversos,Brash Entertainment,0.17,0.0,0.0,0.01,0.18,34.0,4,7.0,4,Brash Entertainment,Livre
Test Drive Off-Road Wide Open,XB,2001,Corrida,Infogrames,0.15,0.03,0.0,0.01,0.18,64.0,21,8.3,9,Rockstar San Diego,Livre
Jeopardy!,DS,2010,Diversos,THQ,0.17,0.0,0.0,0.01,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Pro Yaky? Spirits 2011,PS3,2011,Esporte,Konami Digital Entertainment,0.0,0.0,0.18,0.0,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Doctor Who: Return to Earth,Wii,2010,Aventura,Asylum Entertainment,0.0,0.16,0.0,0.02,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Battle Commander: Hachibushu Shura no Heihou,SNES,1991,Estratégia,Banpresto,0.0,0.0,0.18,0.0,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
WWE All Stars,PSP,2011,Combate,THQ,0.12,0.04,0.0,0.03,0.18,70.0,4,6.6,5,THQ,+14
Jampack Vol. 1,PS,1996,Diversos,Sony Computer Entertainment,0.1,0.07,0.0,0.01,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Bad Boys: Miami Takedown,XB,2004,Tiro,Empire Interactive,0.14,0.04,0.0,0.01,0.18,35.0,20,5.9,9,Blitz Games,+17
Valhalla Knights 3,PSV,2013,Rpg,Xseed Games,0.04,0.01,0.12,0.01,0.18,48.0,19,6.8,56,K2,+17
Mega Man X: Command Mission,PS2,2004,Rpg,Capcom,0.09,0.07,0.0,0.02,0.18,69.0,27,7.1,18,"Valuewave Co.,Ltd.",Livre
Tokyo Xtreme Racer DRIFT,PS2,2003,Corrida,Genki,0.09,0.07,0.0,0.02,0.18,59.0,13,8.6,15,Genki,Livre
Moon,PS,1997,Aventura,ASCII Entertainment,0.0,0.0,0.17,0.01,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",DS,2005,Acao,Disney Interactive Studios,0.15,0.01,0.0,0.01,0.18,65.0,20,7.5,4,Amaze Entertainment,+10
Cabela's Big Game Hunter 2005 Adventures,XB,2004,Esporte,Activision,0.13,0.04,0.0,0.01,0.18,65.0,5,8.3,6,FUN Labs,+14
Re-Volt,N64,1999,Corrida,Acclaim Entertainment,0.14,0.04,0.0,0.0,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Sesame Street: Elmo's Letter Adventure,N64,1999,Diversos,NewKidCo,0.14,0.04,0.0,0.0,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Senran Kagura: Estival Versus,PSV,2015,Acao,Marvelous Interactive,0.04,0.02,0.09,0.02,0.18,71.0,4,7.4,34,Marvelous Inc.,+17
Might & Magic: Clash of Heroes,DS,2009,Rpg,Ubisoft,0.15,0.02,0.0,0.01,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
GRID Autosport,PS3,2014,Corrida,Codemasters,0.05,0.09,0.01,0.03,0.18,75.0,35,6.8,62,Codemasters,Livre
Gokujou Parodius,SNES,1994,Tiro,Konami Digital Entertainment,0.0,0.0,0.18,0.0,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Half-Minute Hero,PSP,2009,Rpg,Rising Star Games,0.08,0.01,0.07,0.01,0.18,84.0,41,7.8,38,Opus,+10
Gauntlet: Dark Legacy,GC,2002,Acao,Midway Games,0.14,0.04,0.0,0.0,0.18,60.0,20,9.1,16,Midway,+14
A.C.E.: Another Century's Episode 2,PS2,2006,Simulação,Banpresto,0.0,0.0,0.18,0.0,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
The Chronicles of Narnia: Prince Caspian,X360,2008,Acao,Disney Interactive Studios,0.16,0.01,0.0,0.01,0.18,56.0,24,7.5,13,Traveller's Tales,+14
Company of Heroes: Anthology,PC,2009,Estratégia,THQ,0.0,0.15,0.0,0.03,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Shadow The Hedgehog,XB,2005,Plataforma,Sega,0.13,0.04,0.0,0.01,0.18,49.0,24,5.5,36,Sega,+10
Daigasso! Band Brothers P,3DS,2013,Diversos,Nintendo,0.0,0.0,0.18,0.0,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Batman: Vengeance,GBA,2001,Aventura,Ubisoft,0.13,0.05,0.0,0.0,0.18,68.0,8,Nao_Inserido,0,Ubisoft Montreal,Livre
Soccer Tsuku Tokudai Gou: J-League Pro Soccer Club o Tsukurou,DC,2000,Esporte,Sega,0.0,0.0,0.18,0.0,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
The Adventures of Cookie & Cream,PS2,2000,Quebra_cabeca,Empire Interactive,0.09,0.07,0.0,0.02,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
World of Outlaws: Sprint Cars,X360,2010,Corrida,THQ,0.17,0.0,0.0,0.01,0.18,57.0,4,8.1,10,Big Ant Studios,Livre
Van Helsing,XB,2007,Acao,Activision,0.13,0.04,0.0,0.01,0.18,63.0,32,7.6,8,Saffire,+14
Grand Slam Tennis 2,X360,2012,Esporte,Electronic Arts,0.1,0.06,0.0,0.02,0.18,71.0,45,5.1,14,EA Sports,Livre
Ben 10 Ultimate Alien: Cosmic Destruction,X360,2010,Plataforma,D3Publisher,0.1,0.06,0.0,0.02,0.18,51.0,5,5.3,4,Papaya Studios,+10
Pure Futbol,X360,2010,Esporte,Ubisoft,0.08,0.08,0.0,0.02,0.18,38.0,20,7.9,29,Ubisoft Vancouver,Livre
Spider-Man: Friend or Foe,PSP,2007,Acao,Activision,0.16,0.0,0.0,0.01,0.18,58.0,7,4.4,9,Artificial Mind and Movement,+10
Sing4: The Hits Edition,Wii,2011,Diversos,Crave Entertainment,0.17,0.0,0.0,0.01,0.18,Nao_Inserido,0,Nao_Inserido,0,Crave,+14
Gun,GC,2005,Tiro,Activision,0.14,0.04,0.0,0.0,0.18,77.0,27,8.6,8,Neversoft Entertainment,+17
SoulCalibur Legends,Wii,2007,Acao,Namco Bandai Games,0.16,0.01,0.0,0.01,0.18,52.0,35,5.7,24,Namco Bandai Games,+14
Rio,Wii,2011,Diversos,THQ,0.13,0.03,0.0,0.01,0.18,Nao_Inserido,0,Nao_Inserido,0,Eurocom Entertainment Software,+10
F1 Challenge,SAT,1994,Corrida,Sega,0.0,0.0,0.18,0.0,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Squeeballs Party,Wii,2009,Quebra_cabeca,Performance Designed Products,0.17,0.0,0.0,0.01,0.18,59.0,16,Nao_Inserido,0,Performance Designed Products,+10
Metal Gear Ac!d 2,PSP,2005,Estratégia,Konami Digital Entertainment,0.11,0.0,0.05,0.01,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Shadow Madness,PS,1999,Acao,Crave Entertainment,0.1,0.07,0.0,0.01,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Aliens: Colonial Marines,PC,2013,Tiro,Sega,0.1,0.06,0.0,0.02,0.18,45.0,40,3.5,1156,Gearbox Software,+17
Tiger Woods PGA Tour 2004,GBA,2003,Esporte,Electronic Arts,0.13,0.05,0.0,0.0,0.18,75.0,5,7.5,4,Backbone Emeryville,Livre
The Game of Life / Yahtzee / Payday,GBA,2005,Diversos,Zoo Digital Publishing,0.13,0.05,0.0,0.0,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
FIFA Soccer 11,PC,2010,Esporte,Electronic Arts,0.0,0.14,0.0,0.04,0.18,83.0,16,7.7,102,EA Sports,Livre
American Chopper 2: Full Throttle,PS2,2005,Corrida,Zoo Digital Publishing,0.09,0.07,0.0,0.02,0.18,Nao_Inserido,0,8.1,9,Creat Studios,+14
Borderlands,PC,2009,Tiro,Take-Two Interactive,0.01,0.14,0.0,0.03,0.18,81.0,37,7.8,1363,Gearbox Software,+17
de Blob 2,Wii,2011,Plataforma,THQ,0.11,0.06,0.0,0.02,0.18,79.0,20,8.1,26,Blue Tongue Entertainment,+10
Silent Hill 4: The Room,XB,2004,Acao,Konami Digital Entertainment,0.14,0.04,0.0,0.01,0.18,76.0,43,8.3,26,KCET,+17
Commandos 2: Men of Courage,PS2,2002,Estratégia,Eidos Interactive,0.09,0.07,0.0,0.02,0.18,67.0,19,6.8,11,Pyro Studios,+14
Remember Me,X360,2013,Acao,Capcom,0.1,0.06,0.0,0.02,0.18,70.0,42,7.5,267,DONTNOD Entertainment,+17
Brink,PC,2011,Tiro,Bethesda Softworks,0.06,0.09,0.0,0.03,0.18,70.0,38,6.0,547,Splash Damage,+14
FIFA Soccer 2002,GC,2001,Esporte,Electronic Arts,0.14,0.04,0.0,0.0,0.18,81.0,13,8.0,9,EA Sports,Livre
Pro Evolution Soccer 2013,3DS,2012,Esporte,Konami Digital Entertainment,0.05,0.02,0.1,0.01,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Atari Anniversary Edition Redux,PS,2000,Diversos,Infogrames,0.1,0.07,0.0,0.01,0.18,72.0,5,Nao_Inserido,0,Digital Eclipse,Livre
Lips: Party Classics,X360,2010,Diversos,Microsoft Game Studios,0.05,0.11,0.0,0.02,0.18,69.0,10,Nao_Inserido,0,iNiS,+14
Toukiden: The Age of Demons,PSP,2013,Acao,Tecmo Koei,0.0,0.0,0.18,0.0,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Fireblade,PS2,2002,Acao,Midway Games,0.09,0.07,0.0,0.02,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Disney's Tarzan Untamed,GC,2001,Plataforma,Ubisoft,0.14,0.04,0.0,0.0,0.18,61.0,11,7.4,8,Ubisoft Montreal,Livre
Brunswick Circuit Pro Bowling,PS,1998,Esporte,THQ,0.1,0.07,0.0,0.01,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Marvel Super Hero Squad: Comic Combat,Wii,2011,Acao,THQ,0.14,0.03,0.0,0.01,0.18,Nao_Inserido,0,Nao_Inserido,0,THQ,+10
Trinity Universe,PS3,2009,Rpg,Nippon Ichi Software,0.07,0.05,0.03,0.02,0.18,62.0,25,7.2,28,"Gust, Idea Factory",+14
Payday 2,XOne,2015,Tiro,505 Games,0.09,0.07,0.0,0.02,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
Pirates: Hunt For Blackbeard's Booty,Wii,2008,Aventura,Activision,0.08,0.08,0.0,0.02,0.18,Nao_Inserido,0,Nao_Inserido,0,Activision,Livre
Cabela's Dangerous Hunts 2009,PS2,2008,Esporte,Activision Value,0.09,0.07,0.0,0.02,0.18,Nao_Inserido,0,9.2,5,FUN Labs,+14
Senran Kagura: Estival Versus,PS4,2015,Acao,Marvelous Interactive,0.08,0.0,0.08,0.02,0.18,67.0,25,8.0,96,Marvelous Inc.,+17
Ball Breakers,PS,2000,Acao,Take-Two Interactive,0.1,0.07,0.0,0.01,0.18,68.0,10,5.3,4,Lost Toys,Livre
Mobile Suit Gundam Seed Destiny: Generation of C.E.,PS2,2005,Acao,Namco Bandai Games,0.0,0.0,0.18,0.0,0.18,Nao_Inserido,0,Nao_Inserido,0,Nao_Inserido,Nao_Inserido
